date,scale,type,open,close,adds,drop,cin,cout,netchg
1987-01-01,ecous,props,45,0,2,0,5,2,50
1987-01-01,ecous,rooms,4744,0,159,0,567,246,5224
1987-01-01,indus,props,38,3,5,0,3,13,30
1987-01-01,indus,rooms,4636,331,407,0,253,2309,2656
1987-01-01,luxus,props,1,0,0,0,0,0,1
1987-01-01,luxus,rooms,291,0,0,0,0,0,291
1987-01-01,midus,props,16,0,4,1,6,1,24
1987-01-01,midus,rooms,3379,0,233,26,710,73,4223
1987-01-01,upmus,props,22,0,1,0,2,5,20
1987-01-01,upmus,rooms,2799,0,203,0,519,622,2899
1987-01-01,upuus,props,6,0,1,1,3,1,8
1987-01-01,upuus,rooms,1798,0,157,30,703,415,2213
1987-01-01,upsus,props,4,0,1,1,3,0,7
1987-01-01,upsus,rooms,715,0,94,7,913,0,1715
1987-02-01,ecous,props,18,1,0,0,4,1,20
1987-02-01,ecous,rooms,1727,100,0,0,595,52,2170
1987-02-01,indus,props,9,1,1,0,2,7,4
1987-02-01,indus,rooms,805,27,58,0,469,843,462
1987-02-01,luxus,props,1,0,0,0,0,0,1
1987-02-01,luxus,rooms,884,0,0,0,0,0,884
1987-02-01,midus,props,5,0,0,1,3,2,5
1987-02-01,midus,rooms,516,0,0,69,249,606,90
1987-02-01,upmus,props,12,0,0,0,1,0,13
1987-02-01,upmus,rooms,1380,0,0,0,188,0,1568
1987-02-01,upuus,props,5,0,0,0,0,0,5
1987-02-01,upuus,rooms,1408,0,0,0,0,0,1408
1987-02-01,upsus,props,5,0,0,0,0,0,5
1987-02-01,upsus,rooms,982,0,0,0,0,0,982
1987-03-01,ecous,props,24,0,0,0,9,2,31
1987-03-01,ecous,rooms,2289,0,0,0,1103,120,3272
1987-03-01,indus,props,11,0,0,1,2,19,-7
1987-03-01,indus,rooms,1262,0,0,61,120,2071,-750
1987-03-01,luxus,props,0,0,0,0,0,0,0
1987-03-01,luxus,rooms,0,0,0,0,0,0,0
1987-03-01,midus,props,10,0,0,0,12,0,22
1987-03-01,midus,rooms,1135,0,0,0,1010,0,2145
1987-03-01,upmus,props,16,0,0,0,3,5,14
1987-03-01,upmus,rooms,2699,0,0,0,637,679,2657
1987-03-01,upuus,props,7,0,0,0,0,0,7
1987-03-01,upuus,rooms,1834,0,0,0,0,0,1834
1987-03-01,upsus,props,10,0,0,0,0,0,10
1987-03-01,upsus,rooms,1747,0,0,0,0,0,1747
1987-04-01,ecous,props,22,0,0,0,2,1,23
1987-04-01,ecous,rooms,1611,0,0,0,411,79,1943
1987-04-01,indus,props,17,0,0,0,2,5,14
1987-04-01,indus,rooms,1333,0,0,0,110,487,956
1987-04-01,luxus,props,1,0,0,0,1,0,2
1987-04-01,luxus,rooms,300,0,0,0,207,0,507
1987-04-01,midus,props,10,0,0,0,6,1,15
1987-04-01,midus,rooms,1740,0,0,0,485,60,2165
1987-04-01,upmus,props,15,0,0,0,0,4,11
1987-04-01,upmus,rooms,1798,0,0,0,0,587,1211
1987-04-01,upuus,props,6,0,0,0,0,0,6
1987-04-01,upuus,rooms,1300,0,0,0,0,0,1300
1987-04-01,upsus,props,7,0,0,0,0,0,7
1987-04-01,upsus,rooms,1552,0,0,0,0,0,1552
1987-05-01,ecous,props,38,0,0,0,4,3,39
1987-05-01,ecous,rooms,3426,0,0,0,617,212,3831
1987-05-01,indus,props,27,0,0,0,4,7,24
1987-05-01,indus,rooms,2167,0,0,0,335,692,1810
1987-05-01,luxus,props,3,0,0,0,0,0,3
1987-05-01,luxus,rooms,686,0,0,0,0,0,686
1987-05-01,midus,props,9,0,0,0,7,0,16
1987-05-01,midus,rooms,1047,0,0,0,552,0,1599
1987-05-01,upmus,props,17,0,0,0,1,6,12
1987-05-01,upmus,rooms,3419,0,0,0,312,912,2819
1987-05-01,upuus,props,4,0,0,0,0,0,4
1987-05-01,upuus,rooms,1338,0,0,0,0,0,1338
1987-05-01,upsus,props,11,0,0,0,0,0,11
1987-05-01,upsus,rooms,1703,0,0,0,0,0,1703
1987-06-01,ecous,props,115,0,0,0,12,8,119
1987-06-01,ecous,rooms,9153,0,0,0,902,889,9166
1987-06-01,indus,props,288,1,9,2,9,23,280
1987-06-01,indus,rooms,17085,141,347,81,1182,3325,15067
1987-06-01,luxus,props,2,0,0,0,1,0,3
1987-06-01,luxus,rooms,1085,0,0,0,338,0,1423
1987-06-01,midus,props,24,0,0,0,12,3,33
1987-06-01,midus,rooms,2784,0,0,0,1145,326,3603
1987-06-01,upmus,props,35,0,0,0,1,5,31
1987-06-01,upmus,rooms,4445,0,0,0,128,584,3989
1987-06-01,upuus,props,5,0,0,0,3,0,8
1987-06-01,upuus,rooms,1740,0,0,0,1344,0,3084
1987-06-01,upsus,props,10,0,0,0,2,1,11
1987-06-01,upsus,rooms,1592,0,0,0,613,528,1677
1987-07-01,ecous,props,32,0,0,0,2,2,32
1987-07-01,ecous,rooms,2382,0,0,0,180,46,2516
1987-07-01,indus,props,26,0,0,0,2,10,18
1987-07-01,indus,rooms,2775,0,0,0,46,1168,1653
1987-07-01,luxus,props,0,0,0,0,0,0,0
1987-07-01,luxus,rooms,0,0,0,0,0,0,0
1987-07-01,midus,props,8,0,0,0,5,1,12
1987-07-01,midus,rooms,877,0,0,0,518,63,1332
1987-07-01,upmus,props,23,0,0,0,6,2,27
1987-07-01,upmus,rooms,2607,0,0,0,799,266,3140
1987-07-01,upuus,props,5,0,0,0,0,0,5
1987-07-01,upuus,rooms,1299,0,0,0,0,0,1299
1987-07-01,upsus,props,15,0,0,0,0,0,15
1987-07-01,upsus,rooms,2702,0,0,0,0,0,2702
1987-08-01,ecous,props,26,0,0,0,2,1,27
1987-08-01,ecous,rooms,2445,0,0,0,210,184,2471
1987-08-01,indus,props,14,0,0,0,3,7,10
1987-08-01,indus,rooms,920,0,0,0,569,995,494
1987-08-01,luxus,props,0,0,0,0,1,1,0
1987-08-01,luxus,rooms,0,0,0,0,516,516,0
1987-08-01,midus,props,9,0,0,0,5,3,11
1987-08-01,midus,rooms,1145,0,0,0,393,267,1271
1987-08-01,upmus,props,9,0,0,0,1,0,10
1987-08-01,upmus,rooms,1279,0,0,0,208,0,1487
1987-08-01,upuus,props,4,0,0,0,1,1,4
1987-08-01,upuus,rooms,1848,0,0,0,396,330,1914
1987-08-01,upsus,props,11,0,0,0,0,0,11
1987-08-01,upsus,rooms,1647,0,0,0,0,0,1647
1987-09-01,ecous,props,31,0,0,0,5,2,34
1987-09-01,ecous,rooms,2677,0,0,0,480,103,3054
1987-09-01,indus,props,8,0,0,0,2,12,-2
1987-09-01,indus,rooms,727,0,0,0,146,2040,-1167
1987-09-01,luxus,props,1,0,0,0,0,0,1
1987-09-01,luxus,rooms,319,0,0,0,0,0,319
1987-09-01,midus,props,11,0,0,0,6,0,17
1987-09-01,midus,rooms,1196,0,0,0,642,0,1838
1987-09-01,upmus,props,16,0,0,0,4,4,16
1987-09-01,upmus,rooms,1754,0,0,0,542,513,1783
1987-09-01,upuus,props,7,0,0,0,1,0,8
1987-09-01,upuus,rooms,2289,0,0,0,846,0,3135
1987-09-01,upsus,props,7,0,0,0,0,0,7
1987-09-01,upsus,rooms,1459,0,0,0,0,0,1459
1987-10-01,ecous,props,24,0,0,0,2,1,25
1987-10-01,ecous,rooms,2241,0,0,0,167,156,2252
1987-10-01,indus,props,12,0,0,0,3,15,0
1987-10-01,indus,rooms,1659,0,0,0,335,2121,-127
1987-10-01,luxus,props,1,0,0,0,0,0,1
1987-10-01,luxus,rooms,541,0,0,0,0,0,541
1987-10-01,midus,props,6,0,0,0,10,3,13
1987-10-01,midus,rooms,444,0,0,0,1438,306,1576
1987-10-01,upmus,props,23,0,0,0,2,1,24
1987-10-01,upmus,rooms,3091,0,0,0,191,310,2972
1987-10-01,upuus,props,6,0,0,0,3,1,8
1987-10-01,upuus,rooms,1917,0,0,0,567,169,2315
1987-10-01,upsus,props,4,0,1,0,1,0,6
1987-10-01,upsus,rooms,566,0,86,0,364,0,1016
1987-11-01,ecous,props,33,0,0,1,7,1,38
1987-11-01,ecous,rooms,3208,0,0,31,847,47,3977
1987-11-01,indus,props,12,0,0,0,9,7,14
1987-11-01,indus,rooms,798,0,0,0,692,1702,-212
1987-11-01,luxus,props,0,0,0,0,0,0,0
1987-11-01,luxus,rooms,0,0,0,0,0,0,0
1987-11-01,midus,props,3,0,0,0,8,18,-7
1987-11-01,midus,rooms,433,0,0,0,1479,2654,-742
1987-11-01,upmus,props,8,0,0,0,2,5,5
1987-11-01,upmus,rooms,826,0,0,0,402,781,447
1987-11-01,upuus,props,7,0,0,0,1,0,8
1987-11-01,upuus,rooms,1769,0,0,0,339,0,2108
1987-11-01,upsus,props,3,0,0,0,4,0,7
1987-11-01,upsus,rooms,355,0,0,0,1425,0,1780
1987-12-01,ecous,props,34,0,0,0,4,4,34
1987-12-01,ecous,rooms,3272,0,0,0,303,411,3164
1987-12-01,indus,props,15,0,0,0,10,8,17
1987-12-01,indus,rooms,1010,0,0,0,1225,1234,1001
1987-12-01,luxus,props,1,0,0,0,0,0,1
1987-12-01,luxus,rooms,687,0,0,0,0,0,687
1987-12-01,midus,props,6,0,0,0,4,8,2
1987-12-01,midus,rooms,769,0,0,0,491,839,421
1987-12-01,upmus,props,14,0,0,0,5,5,14
1987-12-01,upmus,rooms,1754,0,0,0,661,1270,1145
1987-12-01,upuus,props,3,1,0,0,1,0,3
1987-12-01,upuus,rooms,954,350,0,0,598,0,1202
1987-12-01,upsus,props,4,0,0,0,1,0,5
1987-12-01,upsus,rooms,540,0,0,0,476,0,1016
1988-01-01,ecous,props,90,0,0,0,24,28,86
1988-01-01,ecous,rooms,7009,0,0,0,2154,1991,7172
1988-01-01,indus,props,38,1,0,0,23,24,36
1988-01-01,indus,rooms,2431,44,0,0,1376,3628,135
1988-01-01,luxus,props,0,0,0,0,0,0,0
1988-01-01,luxus,rooms,0,0,0,0,0,0,0
1988-01-01,midus,props,13,0,0,0,12,7,18
1988-01-01,midus,rooms,984,0,0,0,1349,548,1785
1988-01-01,upmus,props,13,0,0,0,3,8,8
1988-01-01,upmus,rooms,1707,0,0,0,324,924,1107
1988-01-01,upuus,props,5,0,0,0,4,4,5
1988-01-01,upuus,rooms,1017,0,0,0,1208,974,1251
1988-01-01,upsus,props,9,0,0,1,6,1,13
1988-01-01,upsus,rooms,1213,0,0,3,1899,245,2864
1988-02-01,ecous,props,23,1,0,0,15,13,24
1988-02-01,ecous,rooms,1893,100,0,0,1742,1109,2426
1988-02-01,indus,props,13,0,0,0,7,13,7
1988-02-01,indus,rooms,634,0,0,0,694,1749,-421
1988-02-01,luxus,props,0,0,0,0,0,0,0
1988-02-01,luxus,rooms,0,0,0,0,0,0,0
1988-02-01,midus,props,3,0,0,0,7,5,5
1988-02-01,midus,rooms,371,0,0,0,1249,518,1102
1988-02-01,upmus,props,13,0,0,0,5,3,15
1988-02-01,upmus,rooms,1548,0,0,0,378,455,1471
1988-02-01,upuus,props,4,0,0,0,0,2,2
1988-02-01,upuus,rooms,1098,0,0,0,0,723,375
1988-02-01,upsus,props,3,0,0,0,2,0,5
1988-02-01,upsus,rooms,362,0,0,0,491,0,853
1988-03-01,ecous,props,28,0,1,0,20,11,38
1988-03-01,ecous,rooms,2668,0,112,0,2085,1234,3631
1988-03-01,indus,props,16,1,1,0,10,13,13
1988-03-01,indus,rooms,908,21,21,0,835,1288,455
1988-03-01,luxus,props,1,0,0,0,0,0,1
1988-03-01,luxus,rooms,240,0,0,0,0,0,240
1988-03-01,midus,props,3,0,0,0,5,6,2
1988-03-01,midus,rooms,378,0,0,0,851,466,763
1988-03-01,upmus,props,9,0,0,0,5,10,4
1988-03-01,upmus,rooms,1360,0,0,0,833,1424,769
1988-03-01,upuus,props,2,0,0,0,1,1,2
1988-03-01,upuus,rooms,938,0,0,0,44,236,746
1988-03-01,upsus,props,7,0,0,0,0,0,7
1988-03-01,upsus,rooms,1087,0,0,0,0,0,1087
1988-04-01,ecous,props,39,2,2,0,26,26,39
1988-04-01,ecous,rooms,3450,245,60,0,2185,2014,3436
1988-04-01,indus,props,11,0,1,0,31,22,21
1988-04-01,indus,rooms,656,0,1,0,3398,2133,1922
1988-04-01,luxus,props,0,0,0,0,0,0,0
1988-04-01,luxus,rooms,0,0,0,0,0,0,0
1988-04-01,midus,props,7,0,0,0,3,13,-3
1988-04-01,midus,rooms,633,0,0,0,432,1292,-227
1988-04-01,upmus,props,13,0,2,0,10,6,19
1988-04-01,upmus,rooms,1585,0,157,0,1182,757,2167
1988-04-01,upuus,props,3,0,0,0,0,4,-1
1988-04-01,upuus,rooms,953,0,0,0,0,1309,-356
1988-04-01,upsus,props,8,0,0,0,1,0,9
1988-04-01,upsus,rooms,1216,0,0,0,308,0,1524
1988-05-01,ecous,props,27,0,0,0,19,7,39
1988-05-01,ecous,rooms,2250,0,0,0,1975,887,3338
1988-05-01,indus,props,19,0,1,1,12,13,18
